factory_no,machine_no,part_no,serial_no,timestamp
3,6,f42CLDR,f42CLDR0136661577871069,1577871069.9664588
3,7,g42CLDR,g42CLDR0136661577924362,1577924362.3154001
3,8,h42CLDR,h42CLDR0136661577882674,1577882674.809651
3,9,i42CLDR,i42CLDR0136661577885258,1577885258.6196272
3,10,j42CLDR,j42CLDR0136661577885910,1577885910.9187205
4,1,a42CLDR,a42CLDR0146661577887314,1577887314.5954685
4,1,a42CLDR,a42CLDR0146661577878032,1577878032.7626424
4,1,a42CLDR,a42CLDR0146661577890135,1577890135.713133
4,1,a42CLDR,a42CLDR0146661577865670,1577865670.48337
4,1,a42CLDR,a42CLDR0146661577897861,1577897861.75926
4,2,b42CLDR,b42CLDR0146661577897498,1577897498.785484
4,2,b42CLDR,b42CLDR0146661577930599,1577930599.471781
4,2,b42CLDR,b42CLDR0146661577913964,1577913964.3668408
4,2,b42CLDR,b42CLDR0146661577918134,1577918134.344581
4,2,b42CLDR,b42CLDR0146661577913500,1577913500.2286396
4,3,c42CLDR,c42CLDR0146661577860207,1577860207.668138
4,3,c42CLDR,c42CLDR0146661577927308,1577927308.0931659
4,3,c42CLDR,c42CLDR0146661577872357,1577872357.1072886
4,3,c42CLDR,c42CLDR0146661577901616,1577901616.8437164
4,3,c42CLDR,c42CLDR0146661577883921,1577883921.7669675
4,4,d42CLDR,d42CLDR0146661577889186,1577889186.72782
4,4,d42CLDR,d42CLDR0146661577903742,1577903742.2216847
4,4,d42CLDR,d42CLDR0146661577910670,1577910670.4762108
4,4,d42CLDR,d42CLDR0146661577890516,1577890516.316205
4,4,d42CLDR,d42CLDR0146661577935808,1577935808.8717484
4,5,e42CLDR,e42CLDR0146661577904409,1577904409.2444189
4,5,e42CLDR,e42CLDR0146661577863090,1577863090.064269
4,5,e42CLDR,e42CLDR0146661577874628,1577874628.7466877
4,5,e42CLDR,e42CLDR0146661577926008,1577926008.3889563
4,5,e42CLDR,e42CLDR0146661577876393,1577876393.9738011
4,6,f42CLDR,f42CLDR0146661577922061,1577922061.041537
4,6,f42CLDR,f42CLDR0146661577919466,1577919466.5834117
4,6,f42CLDR,f42CLDR0146661577893596,1577893596.7613742
4,6,f42CLDR,f42CLDR0146661577879014,1577879014.467015
4,6,f42CLDR,f42CLDR0146661577883341,1577883341.7877042
4,7,g42CLDR,g42CLDR0146661577913082,1577913082.0729294
4,7,g42CLDR,g42CLDR0146661577924810,1577924810.7272027
4,7,g42CLDR,g42CLDR0146661577863532,1577863532.4676805
4,7,g42CLDR,g42CLDR0146661577911517,1577911517.4191191
4,7,g42CLDR,g42CLDR0146661577928952,1577928952.559141
4,8,h42CLDR,h42CLDR0146661577864794,1577864794.5158005
4,8,h42CLDR,h42CLDR0146661577909204,1577909204.7476072
4,8,h42CLDR,h42CLDR0146661577889072,1577889072.2071238
4,8,h42CLDR,h42CLDR0146661577860324,1577860324.090931
4,8,h42CLDR,h42CLDR0146661577930843,1577930843.6228309
4,9,i42CLDR,i42CLDR0146661577912151,1577912151.197421
4,9,i42CLDR,i42CLDR0146661577927112,1577927112.4930468
4,9,i42CLDR,i42CLDR0146661577877701,1577877701.9422793
4,9,i42CLDR,i42CLDR0146661577914318,1577914318.812358
4,9,i42CLDR,i42CLDR0146661577912084,1577912084.35122
4,10,j42CLDR,j42CLDR0146661577885290,1577885290.9316466
4,10,j42CLDR,j42CLDR0146661577930605,1577930605.2123196
4,10,j42CLDR,j42CLDR0146661577884419,1577884419.2634928
4,10,j42CLDR,j42CLDR0146661577867598,1577867598.3642662
4,10,j42CLDR,j42CLDR0146661577927295,1577927295.014897
5,1,a42CLDR,a42CLDR0156661577870608,1577870608.6872146
5,2,b42CLDR,b42CLDR0156661577902399,1577902399.404103
5,3,c42CLDR,c42CLDR0156661577869915,1577869915.3973634
5,4,d42CLDR,d42CLDR0156661577912216,1577912216.5089858
5,5,e42CLDR,e42CLDR0156661577910964,1577910964.31577
5,6,f42CLDR,f42CLDR0156661577938923,1577938923.2934396
5,7,g42CLDR,g42CLDR0156661577944423,1577944423.22254
5,8,h42CLDR,h42CLDR0156661577871075,1577871075.640347
5,9,i42CLDR,i42CLDR0156661577877087,1577877087.8724947
5,10,j42CLDR,j42CLDR0156661577894714,1577894714.1507955
1,1,a42CLDR,a42CLDR0116661577982582,1577982582.7351604
1,2,b42CLDR,b42CLDR0116661577991109,1577991109.4468255
1,3,c42CLDR,c42CLDR0116661577955604,1577955604.5678625
1,4,d42CLDR,d42CLDR0116661578001848,1578001848.155844
1,5,e42CLDR,e42CLDR0116661577977393,1577977393.4741662
1,6,f42CLDR,f42CLDR0116661578024338,1578024338.454243
1,7,g42CLDR,g42CLDR0116661577974443,1577974443.6094556
1,8,h42CLDR,h42CLDR0116661577968793,1577968793.5358608
1,9,i42CLDR,i42CLDR0116661578017907,1578017907.953292
1,10,j42CLDR,j42CLDR0116661577982371,1577982371.8236487
2,1,a42CLDR,a42CLDR0126661577972489,1577972489.1482081
2,1,a42CLDR,a42CLDR0126661577979128,1577979128.8221483
2,2,b42CLDR,b42CLDR0126661578006410,1578006410.57614
2,2,b42CLDR,b42CLDR0126661578004314,1578004314.5051227
2,3,c42CLDR,c42CLDR0126661578001045,1578001045.8385198
2,3,c42CLDR,c42CLDR0126661577991057,1577991057.1748421
2,4,d42CLDR,d42CLDR0126661577948446,1577948446.8901057
2,4,d42CLDR,d42CLDR0126661577953894,1577953894.7554946
2,5,e42CLDR,e42CLDR0126661577975868,1577975868.0083134
2,5,e42CLDR,e42CLDR0126661577977808,1577977808.4878721
2,6,f42CLDR,f42CLDR0126661577971431,1577971431.9613507
2,6,f42CLDR,f42CLDR0126661578009782,1578009782.9190454
2,7,g42CLDR,g42CLDR0126661577948814,1577948814.169472
2,7,g42CLDR,g42CLDR0126661578014903,1578014903.8529758
2,8,h42CLDR,h42CLDR0126661578006666,1578006666.8803003
2,8,h42CLDR,h42CLDR0126661577987336,1577987336.9540608
2,9,i42CLDR,i42CLDR0126661578028150,1578028150.7671745
2,9,i42CLDR,i42CLDR0126661577964971,1577964971.106033
2,10,j42CLDR,j42CLDR0126661577979413,1577979413.8871403
2,10,j42CLDR,j42CLDR0126661578002370,1578002370.1233141
3,1,a42CLDR,a42CLDR0136661578028782,1578028782.3249545
3,2,b42CLDR,b42CLDR0136661577985039,1577985039.7845747
3,3,c42CLDR,c42CLDR0136661577963502,1577963502.716948
3,4,d42CLDR,d42CLDR0136661578019427,1578019427.7168198
3,5,e42CLDR,e42CLDR0136661577950192,1577950192.7635584
3,6,f42CLDR,f42CLDR0136661577952619,1577952619.745177
3,7,g42CLDR,g42CLDR0136661577972596,1577972596.8241045
3,8,h42CLDR,h42CLDR0136661577996506,1577996506.434594
3,9,i42CLDR,i42CLDR0136661578030225,1578030225.6474624
3,10,j42CLDR,j42CLDR0136661577971594,1577971594.0917785
4,1,a42CLDR,a42CLDR0146661578005157,1578005157.2277431
4,1,a42CLDR,a42CLDR0146661578028280,1578028280.5116282
4,1,a42CLDR,a42CLDR0146661577972335,1577972335.6456194
4,1,a42CLDR,a42CLDR0146661577995503,1577995503.501347
4,1,a42CLDR,a42CLDR0146661578019204,1578019204.9346168
4,2,b42CLDR,b42CLDR0146661577979537,1577979537.9312494
4,2,b42CLDR,b42CLDR0146661577978959,1577978959.5319726
4,2,b42CLDR,b42CLDR0146661577953173,1577953173.031599
4,2,b42CLDR,b42CLDR0146661577997250,1577997250.3149498
4,2,b42CLDR,b42CLDR0146661577968942,1577968942.531262
4,3,c42CLDR,c42CLDR0146661578017692,1578017692.8927968
4,3,c42CLDR,c42CLDR0146661578012760,1578012760.876828
4,3,c42CLDR,c42CLDR0146661578025360,1578025360.0182703
4,3,c42CLDR,c42CLDR0146661577962858,1577962858.1978045
4,3,c42CLDR,c42CLDR0146661577980590,1577980590.565622
4,4,d42CLDR,d42CLDR0146661577962119,1577962119.033646
4,4,d42CLDR,d42CLDR0146661578018388,1578018388.432214
4,4,d42CLDR,d42CLDR0146661577983157,1577983157.8885555
4,4,d42CLDR,d42CLDR0146661578014939,1578014939.2347162
4,4,d42CLDR,d42CLDR0146661577956298,1577956298.7613196
4,5,e42CLDR,e42CLDR0146661577987044,1577987044.8294704
4,5,e42CLDR,e42CLDR0146661578007736,1578007736.07552
4,5,e42CLDR,e42CLDR0146661577945181,1577945181.6845403
4,5,e42CLDR,e42CLDR0146661577959787,1577959787.9618504
4,5,e42CLDR,e42CLDR0146661577974960,1577974960.8148584
4,6,f42CLDR,f42CLDR0146661577977746,1577977746.3805032
4,6,f42CLDR,f42CLDR0146661578018463,1578018463.6247544
4,6,f42CLDR,f42CLDR0146661578026445,1578026445.483554
4,6,f42CLDR,f42CLDR0146661578020831,1578020831.8712845
4,6,f42CLDR,f42CLDR0146661577954343,1577954343.7394478
4,7,g42CLDR,g42CLDR0146661577981486,1577981486.096018
4,7,g42CLDR,g42CLDR0146661578027489,1578027489.4631507
4,7,g42CLDR,g42CLDR0146661577960646,1577960646.3275006
4,7,g42CLDR,g42CLDR0146661577948931,1577948931.3509133
4,7,g42CLDR,g42CLDR0146661577985799,1577985799.902977
4,8,h42CLDR,h42CLDR0146661577955793,1577955793.999684
4,8,h42CLDR,h42CLDR0146661578023095,1578023095.3552513
4,8,h42CLDR,h42CLDR0146661577950197,1577950197.8974373
4,8,h42CLDR,h42CLDR0146661577984270,1577984270.1079962
4,8,h42CLDR,h42CLDR0146661577953635,1577953635.5405328
4,9,i42CLDR,i42CLDR0146661578029580,1578029580.4068828
4,9,i42CLDR,i42CLDR0146661577988912,1577988912.7060177
4,9,i42CLDR,i42CLDR0146661578007422,1578007422.570395
4,9,i42CLDR,i42CLDR0146661578027955,1578027955.278181
4,9,i42CLDR,i42CLDR0146661577967978,1577967978.646794
4,10,j42CLDR,j42CLDR0146661578015881,1578015881.5328004
4,10,j42CLDR,j42CLDR0146661577986873,1577986873.799032
4,10,j42CLDR,j42CLDR0146661578029422,1578029422.3904302
4,10,j42CLDR,j42CLDR0146661577966151,1577966151.2869449
4,10,j42CLDR,j42CLDR0146661577972512,1577972512.8131251
5,1,a42CLDR,a42CLDR0156661577947017,1577947017.243661
5,2,b42CLDR,b42CLDR0156661578001878,1578001878.987951
5,3,c42CLDR,c42CLDR0156661577977211,1577977211.282142
5,4,d42CLDR,d42CLDR0156661577986514,1577986514.618874
5,5,e42CLDR,e42CLDR0156661578019644,1578019644.9068031
5,6,f42CLDR,f42CLDR0156661577946245,1577946245.937285
5,7,g42CLDR,g42CLDR0156661577946929,1577946929.7149985
5,8,h42CLDR,h42CLDR0156661578016839,1578016839.8588638
5,9,i42CLDR,i42CLDR0156661577992725,1577992725.3440566
5,10,j42CLDR,j42CLDR0156661577975835,1577975835.1876683
1,1,a42CLDR,a42CLDR0116661578052281,1578052281.3800006
1,2,b42CLDR,b42CLDR0116661578072975,1578072975.7653713
1,3,c42CLDR,c42CLDR0116661578086067,1578086067.309631
1,4,d42CLDR,d42CLDR0116661578108790,1578108790.7641723
1,5,e42CLDR,e42CLDR0116661578116909,1578116909.1255984
1,6,f42CLDR,f42CLDR0116661578061238,1578061238.4113479
1,7,g42CLDR,g42CLDR0116661578090447,1578090447.0015
1,8,h42CLDR,h42CLDR0116661578103841,1578103841.6629367
1,9,i42CLDR,i42CLDR0116661578051282,1578051282.7110233
1,10,j42CLDR,j42CLDR0116661578112561,1578112561.7510822
2,1,a42CLDR,a42CLDR0126661578055525,1578055525.324193
2,1,a42CLDR,a42CLDR0126661578081110,1578081110.9726436
2,2,b42CLDR,b42CLDR0126661578104124,1578104124.8646235
2,2,b42CLDR,b42CLDR0126661578093463,1578093463.433264
2,3,c42CLDR,c42CLDR0126661578088533,1578088533.8785946
2,3,c42CLDR,c42CLDR0126661578050695,1578050695.526995
2,4,d42CLDR,d42CLDR0126661578091977,1578091977.683962
2,4,d42CLDR,d42CLDR0126661578067796,1578067796.5228703
2,5,e42CLDR,e42CLDR0126661578095659,1578095659.305455
2,5,e42CLDR,e42CLDR0126661578070549,1578070549.2814496
2,6,f42CLDR,f42CLDR0126661578104843,1578104843.361607
2,6,f42CLDR,f42CLDR0126661578117294,1578117294.7760658
2,7,g42CLDR,g42CLDR0126661578074820,1578074820.0284154
2,7,g42CLDR,g42CLDR0126661578055103,1578055103.7045903
2,8,h42CLDR,h42CLDR0126661578042274,1578042274.4154587
2,8,h42CLDR,h42CLDR0126661578054485,1578054485.949173
2,9,i42CLDR,i42CLDR0126661578077039,1578077039.3880827
2,9,i42CLDR,i42CLDR0126661578090999,1578090999.5544095
2,10,j42CLDR,j42CLDR0126661578056536,1578056536.215409
2,10,j42CLDR,j42CLDR0126661578036930,1578036930.222868
3,1,a42CLDR,a42CLDR0136661578081263,1578081263.0939522
3,2,b42CLDR,b42CLDR0136661578111962,1578111962.0297155
3,3,c42CLDR,c42CLDR0136661578062379,1578062379.3203325
3,4,d42CLDR,d42CLDR0136661578109717,1578109717.6127696
3,5,e42CLDR,e42CLDR0136661578092425,1578092425.485658
3,6,f42CLDR,f42CLDR0136661578106417,1578106417.0215547
3,7,g42CLDR,g42CLDR0136661578050499,1578050499.4992404
3,8,h42CLDR,h42CLDR0136661578040018,1578040018.0948944
3,9,i42CLDR,i42CLDR0136661578093448,1578093448.1817403
3,10,j42CLDR,j42CLDR0136661578074623,1578074623.4446967
4,1,a42CLDR,a42CLDR0146661578043225,1578043225.3613114
4,1,a42CLDR,a42CLDR0146661578054954,1578054954.541488
4,1,a42CLDR,a42CLDR0146661578097481,1578097481.5910254
4,1,a42CLDR,a42CLDR0146661578111772,1578111772.6361947
4,1,a42CLDR,a42CLDR0146661578075648,1578075648.1355834
4,2,b42CLDR,b42CLDR0146661578066897,1578066897.9434364
4,2,b42CLDR,b42CLDR0146661578048768,1578048768.9376464
4,2,b42CLDR,b42CLDR0146661578032395,1578032395.9212887
4,2,b42CLDR,b42CLDR0146661578107651,1578107651.0204756
4,2,b42CLDR,b42CLDR0146661578090921,1578090921.823483
4,3,c42CLDR,c42CLDR0146661578114505,1578114505.2317467
4,3,c42CLDR,c42CLDR0146661578106961,1578106961.743767
4,3,c42CLDR,c42CLDR0146661578091119,1578091119.8337343
4,3,c42CLDR,c42CLDR0146661578117360,1578117360.1418283
4,3,c42CLDR,c42CLDR0146661578068589,1578068589.1666763
4,4,d42CLDR,d42CLDR0146661578044310,1578044310.552407
4,4,d42CLDR,d42CLDR0146661578073062,1578073062.1752799
4,4,d42CLDR,d42CLDR0146661578058343,1578058343.8162017
4,4,d42CLDR,d42CLDR0146661578036839,1578036839.458794
4,4,d42CLDR,d42CLDR0146661578056240,1578056240.6834118
4,5,e42CLDR,e42CLDR0146661578101845,1578101845.9478967
4,5,e42CLDR,e42CLDR0146661578053565,1578053565.0050774
4,5,e42CLDR,e42CLDR0146661578067730,1578067730.0228307
4,5,e42CLDR,e42CLDR0146661578098133,1578098133.9546118
4,5,e42CLDR,e42CLDR0146661578115146,1578115146.4768584
4,6,f42CLDR,f42CLDR0146661578037346,1578037346.80197
4,6,f42CLDR,f42CLDR0146661578079237,1578079237.3650477
4,6,f42CLDR,f42CLDR0146661578068172,1578068172.124541
4,6,f42CLDR,f42CLDR0146661578082998,1578082998.329215
4,6,f42CLDR,f42CLDR0146661578068368,1578068368.7297833
4,7,g42CLDR,g42CLDR0146661578087365,1578087365.300048
4,7,g42CLDR,g42CLDR0146661578056616,1578056616.6302016
4,7,g42CLDR,g42CLDR0146661578088200,1578088200.9876018
4,7,g42CLDR,g42CLDR0146661578093152,1578093152.2276754
4,7,g42CLDR,g42CLDR0146661578089483,1578089483.8387961
4,8,h42CLDR,h42CLDR0146661578110023,1578110023.7084887
4,8,h42CLDR,h42CLDR0146661578070279,1578070279.4758904
4,8,h42CLDR,h42CLDR0146661578081243,1578081243.2555296
4,8,h42CLDR,h42CLDR0146661578073566,1578073566.2292163
4,8,h42CLDR,h42CLDR0146661578112274,1578112274.672484
4,9,i42CLDR,i42CLDR0146661578068652,1578068652.988368
4,9,i42CLDR,i42CLDR0146661578102071,1578102071.0744505
4,9,i42CLDR,i42CLDR0146661578086444,1578086444.5458198
4,9,i42CLDR,i42CLDR0146661578056337,1578056337.8414698
4,9,i42CLDR,i42CLDR0146661578111195,1578111195.6824305
4,10,j42CLDR,j42CLDR0146661578116522,1578116522.7471125
4,10,j42CLDR,j42CLDR0146661578102683,1578102683.6981914
4,10,j42CLDR,j42CLDR0146661578078338,1578078338.6317642
4,10,j42CLDR,j42CLDR0146661578079562,1578079562.7827609
4,10,j42CLDR,j42CLDR0146661578087009,1578087009.016649
5,1,a42CLDR,a42CLDR0156661578113049,1578113049.4891534
5,2,b42CLDR,b42CLDR0156661578036603,1578036603.5704148
5,3,c42CLDR,c42CLDR0156661578051807,1578051807.947617
5,4,d42CLDR,d42CLDR0156661578072102,1578072102.4144404
5,5,e42CLDR,e42CLDR0156661578040820,1578040820.3338008
5,6,f42CLDR,f42CLDR0156661578084853,1578084853.840397
5,7,g42CLDR,g42CLDR0156661578044105,1578044105.9166505
5,8,h42CLDR,h42CLDR0156661578084705,1578084705.386281
5,9,i42CLDR,i42CLDR0156661578111937,1578111937.0191963
5,10,j42CLDR,j42CLDR0156661578052284,1578052284.007029
1,1,a42CLDR,a42CLDR0116661578195708,1578195708.6168306
1,2,b42CLDR,b42CLDR0116661578157551,1578157551.5312085
1,3,c42CLDR,c42CLDR0116661578177853,1578177853.9711556
1,4,d42CLDR,d42CLDR0116661578126721,1578126721.0090642
1,5,e42CLDR,e42CLDR0116661578135134,1578135134.0652757
1,6,f42CLDR,f42CLDR0116661578167181,1578167181.183983
1,7,g42CLDR,g42CLDR0116661578176144,1578176144.5784295
1,8,h42CLDR,h42CLDR0116661578158038,1578158038.4706872
1,9,i42CLDR,i42CLDR0116661578193008,1578193008.1652932
1,10,j42CLDR,j42CLDR0116661578121147,1578121147.0294166
2,1,a42CLDR,a42CLDR0126661578166649,1578166649.6294098
2,1,a42CLDR,a42CLDR0126661578147712,1578147712.3119097
2,2,b42CLDR,b42CLDR0126661578127497,1578127497.301003
2,2,b42CLDR,b42CLDR0126661578172889,1578172889.0482054
2,3,c42CLDR,c42CLDR0126661578186157,1578186157.5646977
2,3,c42CLDR,c42CLDR0126661578144641,1578144641.7416337
2,4,d42CLDR,d42CLDR0126661578183202,1578183202.4762788
2,4,d42CLDR,d42CLDR0126661578175870,1578175870.689165
2,5,e42CLDR,e42CLDR0126661578203918,1578203918.7893946
2,5,e42CLDR,e42CLDR0126661578146856,1578146856.260862
2,6,f42CLDR,f42CLDR0126661578181608,1578181608.3229108
2,6,f42CLDR,f42CLDR0126661578188160,1578188160.4644306
2,7,g42CLDR,g42CLDR0126661578203667,1578203667.5899844
2,7,g42CLDR,g42CLDR0126661578131644,1578131644.897539
2,8,h42CLDR,h42CLDR0126661578144638,1578144638.2177856
2,8,h42CLDR,h42CLDR0126661578132970,1578132970.0180593
2,9,i42CLDR,i42CLDR0126661578147485,1578147485.020787
2,9,i42CLDR,i42CLDR0126661578179954,1578179954.196908
2,10,j42CLDR,j42CLDR0126661578186724,1578186724.4295785
2,10,j42CLDR,j42CLDR0126661578132214,1578132214.3157425
3,1,a42CLDR,a42CLDR0136661578123256,1578123256.6506
3,2,b42CLDR,b42CLDR0136661578138709,1578138709.7761302
3,3,c42CLDR,c42CLDR0136661578133766,1578133766.5519686
3,4,d42CLDR,d42CLDR0136661578126279,1578126279.5931478
3,5,e42CLDR,e42CLDR0136661578184916,1578184916.42137
3,6,f42CLDR,f42CLDR0136661578119726,1578119726.803097
3,7,g42CLDR,g42CLDR0136661578203265,1578203265.8866022
3,8,h42CLDR,h42CLDR0136661578191955,1578191955.1649706
3,9,i42CLDR,i42CLDR0136661578152507,1578152507.2216733
3,10,j42CLDR,j42CLDR0136661578153186,1578153186.0869164
4,1,a42CLDR,a42CLDR0146661578195265,1578195265.661301
4,1,a42CLDR,a42CLDR0146661578129019,1578129019.7107697
4,1,a42CLDR,a42CLDR0146661578199741,1578199741.7141094
4,1,a42CLDR,a42CLDR0146661578161749,1578161749.0076568
4,1,a42CLDR,a42CLDR0146661578198197,1578198197.1488128
4,2,b42CLDR,b42CLDR0146661578161962,1578161962.8932192
4,2,b42CLDR,b42CLDR0146661578166827,1578166827.1316786
4,2,b42CLDR,b42CLDR0146661578159829,1578159829.1165442
4,2,b42CLDR,b42CLDR0146661578137216,1578137216.0172698
4,2,b42CLDR,b42CLDR0146661578163406,1578163406.514997
4,3,c42CLDR,c42CLDR0146661578173924,1578173924.343598
4,3,c42CLDR,c42CLDR0146661578175052,1578175052.096576
4,3,c42CLDR,c42CLDR0146661578163322,1578163322.1941223
4,3,c42CLDR,c42CLDR0146661578168947,1578168947.2483451
4,3,c42CLDR,c42CLDR0146661578180000,1578180000.3028903
4,4,d42CLDR,d42CLDR0146661578196526,1578196526.9863296
4,4,d42CLDR,d42CLDR0146661578132023,1578132023.106353
4,4,d42CLDR,d42CLDR0146661578198714,1578198714.8513014
4,4,d42CLDR,d42CLDR0146661578153891,1578153891.630092
4,4,d42CLDR,d42CLDR0146661578150282,1578150282.8111818
4,5,e42CLDR,e42CLDR0146661578154950,1578154950.1651957
4,5,e42CLDR,e42CLDR0146661578196963,1578196963.332381
4,5,e42CLDR,e42CLDR0146661578120649,1578120649.3089483
4,5,e42CLDR,e42CLDR0146661578188651,1578188651.5884793
4,5,e42CLDR,e42CLDR0146661578129184,1578129184.690275
4,6,f42CLDR,f42CLDR0146661578200535,1578200535.9071271
4,6,f42CLDR,f42CLDR0146661578159685,1578159685.4505272
4,6,f42CLDR,f42CLDR0146661578148596,1578148596.2946334
4,6,f42CLDR,f42CLDR0146661578127086,1578127086.836096
4,6,f42CLDR,f42CLDR0146661578170447,1578170447.2899404
4,7,g42CLDR,g42CLDR0146661578134061,1578134061.024908
4,7,g42CLDR,g42CLDR0146661578158789,1578158789.2507448
4,7,g42CLDR,g42CLDR0146661578187528,1578187528.7789712
4,7,g42CLDR,g42CLDR0146661578184975,1578184975.6708274
4,7,g42CLDR,g42CLDR0146661578123760,1578123760.0312307
4,8,h42CLDR,h42CLDR0146661578148375,1578148375.9297855
4,8,h42CLDR,h42CLDR0146661578128187,1578128187.8266597
4,8,h42CLDR,h42CLDR0146661578183743,1578183743.9641314
4,8,h42CLDR,h42CLDR0146661578150639,1578150639.908197
4,8,h42CLDR,h42CLDR0146661578169765,1578169765.7516184
4,9,i42CLDR,i42CLDR0146661578167378,1578167378.8008447
4,9,i42CLDR,i42CLDR0146661578141210,1578141210.2860384
4,9,i42CLDR,i42CLDR0146661578192410,1578192410.6530075
4,9,i42CLDR,i42CLDR0146661578147935,1578147935.7494178
4,9,i42CLDR,i42CLDR0146661578187951,1578187951.8068385
4,10,j42CLDR,j42CLDR0146661578198979,1578198979.4317012
4,10,j42CLDR,j42CLDR0146661578124380,1578124380.8252897
4,10,j42CLDR,j42CLDR0146661578173515,1578173515.5747366
4,10,j42CLDR,j42CLDR0146661578188765,1578188765.4163623
4,10,j42CLDR,j42CLDR0146661578124814,1578124814.861106
5,1,a42CLDR,a42CLDR0156661578161602,1578161602.8811147
5,2,b42CLDR,b42CLDR0156661578165188,1578165188.2438762
5,3,c42CLDR,c42CLDR0156661578190363,1578190363.0178072
5,4,d42CLDR,d42CLDR0156661578185185,1578185185.327845
5,5,e42CLDR,e42CLDR0156661578166105,1578166105.5596123
5,6,f42CLDR,f42CLDR0156661578188946,1578188946.9555929
5,7,g42CLDR,g42CLDR0156661578195130,1578195130.1937459
5,8,h42CLDR,h42CLDR0156661578132386,1578132386.9114752
5,9,i42CLDR,i42CLDR0156661578161577,1578161577.7681615
5,10,j42CLDR,j42CLDR0156661578180693,1578180693.799324
1,1,a42CLDR,a42CLDR0116661578253714,1578253714.5023077
1,2,b42CLDR,b42CLDR0116661578233510,1578233510.9576929
1,3,c42CLDR,c42CLDR0116661578284030,1578284030.7407272
1,4,d42CLDR,d42CLDR0116661578286242,1578286242.5432744
1,5,e42CLDR,e42CLDR0116661578234804,1578234804.676615
1,6,f42CLDR,f42CLDR0116661578277926,1578277926.9522905
1,7,g42CLDR,g42CLDR0116661578273685,1578273685.005222
1,8,h42CLDR,h42CLDR0116661578275943,1578275943.7704618
1,9,i42CLDR,i42CLDR0116661578256905,1578256905.2840955
1,10,j42CLDR,j42CLDR0116661578222306,1578222306.6887443
2,1,a42CLDR,a42CLDR0126661578286026,1578286026.8175368
2,1,a42CLDR,a42CLDR0126661578255698,1578255698.20256
2,2,b42CLDR,b42CLDR0126661578244829,1578244829.0782967
2,2,b42CLDR,b42CLDR0126661578255699,1578255699.5898924
2,3,c42CLDR,c42CLDR0126661578228245,1578228245.432127
2,3,c42CLDR,c42CLDR0126661578271193,1578271193.2554572
2,4,d42CLDR,d42CLDR0126661578261693,1578261693.8679397
2,4,d42CLDR,d42CLDR0126661578266800,1578266800.7686749
2,5,e42CLDR,e42CLDR0126661578223145,1578223145.0264776
2,5,e42CLDR,e42CLDR0126661578276461,1578276461.103444
2,6,f42CLDR,f42CLDR0126661578231669,1578231669.2134414
2,6,f42CLDR,f42CLDR0126661578213172,1578213172.5835009
2,7,g42CLDR,g42CLDR0126661578252113,1578252113.6376028
2,7,g42CLDR,g42CLDR0126661578207745,1578207745.0463247
2,8,h42CLDR,h42CLDR0126661578269956,1578269956.6428485
2,8,h42CLDR,h42CLDR0126661578224213,1578224213.5194187
